Year,Guatemala,Escuintla,Quetzaltenango,Sololá,Quiche
2010,27.3,25.3227514,24.69879688,23.24005024,22.03871057
2011,27.6,25.58475266,24.92947676,23.56633381,22.24159309
2012,27.9,25.84911943,25.16139413,23.90597524,22.45040668
2013,28.1,26.10209267,25.39483074,24.23997349,22.66171675
2014,28.4,26.35049171,25.62956911,24.56740163,22.87765851
2015,28.7,26.60200143,25.8718012,24.88504815,23.10069482
2016,28.9,26.86265036,26.11170143,25.19844569,23.32684508
2017,29.2,27.1406992,26.35116366,25.50623844,23.55531519
2018,29.5,27.42516763,26.5949186,25.81621926,23.77540402
2019,29.8,27.71291921,26.8421089,26.1290774,23.99834858
2020,30,28.00459237,27.09577065,26.44729768,24.23149233
2021,30.3,28.30013184,27.3547686,26.77050017,24.4749012
2022,30.6,28.59975417,27.61991517,27.09796846,24.72841168
2023,30.9,28.90352125,27.89162097,27.43193156,24.99168189
2024,31.2,29.21168045,28.16931684,27.77067268,25.26437123
2025,31.5,29.52321934,28.45259204,28.1150672,25.54635167
2026,31.8,29.83898246,28.74190256,28.46469137,25.83680876
2027,32.1,30.15841193,29.03661595,28.81811001,26.1358485
2028,32.4,30.48120373,29.33653934,29.17644865,26.44217135
2029,32.8,30.80632143,29.64070415,29.53841887,26.75597326
2030,33.1,31.13419463,29.94883367,29.90360885,27.0759265
2031,33.4,31.46425495,30.25991904,30.27306374,27.4017194
2032,33.7,31.79558832,30.57373565,30.64390199,27.73298463
2033,34,32.12812431,30.88947643,31.01690608,28.06893905
2034,34.4,32.46122055,31.20718263,31.39227429,28.40894872
2035,34.7,32.79519263,31.52656814,31.769072,28.7525683
2036,35,33.12906491,31.84705254,32.14681709,29.09927242
2037,35.3,33.46285836,32.16802056,32.52576945,29.44885362
2038,35.6,33.79635553,32.48955975,32.9046444,29.8015665
2039,36,34.12955427,32.81105907,33.28507525,30.15611529
2040,36.3,34.4615938,33.13319849,33.66471674,30.51338386
2041,36.6,34.79279657,33.45525072,34.0458736,30.87236881
2042,36.9,35.12256614,33.77695055,34.42724706,31.23325408
2043,37.2,35.45136071,34.09802115,34.80880591,31.59564269
2044,37.5,35.77838379,34.41908432,35.19114759,31.96001753
2045,37.8,36.10468072,34.73933466,35.57232234,32.32574071
2046,38.2,36.42945974,35.05924583,35.95394298,32.69246392
2047,38.5,36.75236858,35.3784328,36.3361815,33.06060761
2048,38.8,37.07364642,35.69713156,36.71768408,33.43036906
2049,39.1,37.39285975,36.01493027,37.09884412,33.80099191
2050,39.4,37.71033873,36.33187972,37.47996383,34.17286618